"pt","site","latitude","longitude","occ1","occ2","occ3","occ4","obs1","obs2","obs3","obs4","ord1","ord2","ord3","ord4","dtime1","dtime2","dtime3","dtime4","mean2018","max2018","No_trees_mean","No_trees_max","No_wires_mean","No_wires_max","No_SW_mean","No_SW_max","No_SE_mean","No_SE_max","No_N_mean","No_N_max"
"KR11","K",40.53649828,-74.66345736,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,7.31666666666667,8.26666666666667,7.05,8.45,66.0634994506836,59.1720428466797,66.5909881591797,61.8492698669434,66.0723114013672,59.1720428466797,66.5900192260742,61.8492698669434,66.0730590820312,59.1720428466797,66.0634994506836,59.1720428466797
"KR12","K",40.53793968,-74.66345014,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,7.46666666666667,8.11666666666667,7.2,8.33333333333333,66.4470062255859,59.6524314880371,66.7436447143555,60.5574989318848,66.4472885131836,59.6524314880371,66.74072265625,60.5574989318848,66.4481964111328,59.6524314880371,66.4470062255859,59.6524314880371
"KR13","K",40.53865763,-74.66250188,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,7.58333333333333,7.96666666666667,7.31666666666667,8.18333333333333,63.5978088378906,48.2218589782715,67.2381286621094,63.6876258850098,63.6005706787109,48.2218589782715,67.2143249511719,63.6588897705078,63.6226196289062,48.2218589782715,63.5978088378906,48.2218589782715
"KR14","K",40.53937557,-74.66155359,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,7.73333333333333,7.81666666666667,7.43333333333333,8.03333333333333,66.847541809082,63.1920127868652,67.097053527832,65.3445358276367,66.8447418212891,63.1920127868652,66.9906997680664,63.4026336669922,66.9509963989258,64.5827026367188,66.847541809082,63.1920127868652
"KR15","K",40.54009351,-74.66060529,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,7.86666666666667,7.7,7.56666666666667,7.9,66.4682083129883,64.2734909057617,66.6148376464844,64.4201507568359,66.4780578613281,64.2734909057617,66.4816589355469,64.2734909057617,66.6112289428711,64.4201507568359,66.4682083129883,64.2734909057617
"KR16","K",40.54081143,-74.65965696,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,8,7.55,7.71666666666667,7.76666666666667,66.5154418945312,61.9632873535156,66.5884017944336,61.9632873535156,66.5326995849609,61.9632873535156,66.5395278930664,61.9632873535156,66.5815734863281,61.9632873535156,66.5154418945312,61.9632873535156
"KR17","K",40.54152935,-74.65870861,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,8.13333333333333,7.43333333333333,7.83333333333333,7.66666666666667,65.8932952880859,48.2325096130371,66.0053558349609,48.2325096130371,65.987174987793,48.2325096130371,65.9879608154297,48.2325096130371,66.0044708251953,48.2325096130371,65.8933868408203,48.2325096130371
"KR18","K",40.54297076,-74.6587013,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,8.26666666666667,7.28333333333333,7.98333333333333,7.53333333333333,66.1597900390625,49.1758804321289,66.2618942260742,49.1758804321289,66.2567367553711,49.1758804321289,66.2567825317383,49.1758804321289,66.2571563720703,49.1758804321289,66.1645431518555,49.1758804321289
"KR19","K",40.54225284,-74.65964967,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,8.41666666666667,7.13333333333333,8.13333333333333,7.38333333333333,66.6966857910156,62.942512512207,66.7284927368164,62.942512512207,66.7226257324219,62.942512512207,66.7228927612305,62.942512512207,66.725471496582,62.942512512207,66.698371887207,62.942512512207
"KR20","K",40.54153492,-74.66059801,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,8.55,7.01666666666667,8.28333333333333,7.25,67.0313034057617,65.1577682495117,67.0539398193359,65.1577682495117,67.0354766845703,65.1577682495117,67.0374755859375,65.1577682495117,67.0518951416016,65.1577682495117,67.0313491821289,65.1577682495117
"KR21","K",40.54081698,-74.66154634,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,8.66666666666667,6.86666666666667,8.41666666666667,7.13333333333333,67.6342926025391,66.2054977416992,67.6534118652344,66.2054977416992,67.6339340209961,66.2054977416992,67.6489944458008,66.2054977416992,67.6382141113281,66.2054977416992,67.6342926025391,66.2054977416992
"KR22","K",40.54009904,-74.66249464,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,8.8,6.73333333333333,8.55,6.98333333333333,67.2458801269531,63.020092010498,67.4080123901367,63.0440330505371,67.2478561401367,63.020092010498,67.3919372558594,63.0440330505371,67.263916015625,63.020092010498,67.2458801269531,63.020092010498
"KR23","K",40.53938109,-74.66344293,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,8.96666666666667,6.6,8.68333333333333,6.83333333333333,66.601318359375,46.6464920043945,70.7202682495117,60.2104415893555,66.6038055419922,46.6464920043945,70.7098083496094,60.2104415893555,66.6111373901367,46.6464920043945,66.601318359375,46.6464920043945
"KR24","K",40.5408225,-74.66343572,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,9.1,6.48333333333333,8.81666666666667,6.66666666666667,67.3638381958008,61.6262702941895,67.4008407592773,61.6262702941895,67.363525390625,61.6262702941895,67.3982086181641,61.6262702941895,67.3660125732422,61.6262702941895,67.3638381958008,61.6262702941895
"KR25","K",40.54154045,-74.66248741,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,9.21666666666667,6.35,8.96666666666667,6.55,67.8080291748047,66.598388671875,67.8162612915039,66.598388671875,67.803825378418,66.5983963012695,67.8157501220703,66.598388671875,67.8041839599609,66.598388671875,67.8080291748047,66.598388671875
"KR26","K",40.54225839,-74.66153908,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,9.35,6.21666666666667,9.08333333333333,6.4,67.4927062988281,66.0018005371094,67.5017623901367,66.0018005371094,67.5016403198242,66.0018692016602,67.5014724731445,66.0018005371094,67.5014572143555,66.0018005371094,67.4928665161133,66.0018005371094
"KR27","K",40.54297632,-74.66059074,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,9.46666666666667,6.06666666666667,9.23333333333333,6.26666666666667,66.8633193969727,64.4809265136719,66.8876647949219,64.4809265136719,66.8849639892578,64.4809265136719,66.8849487304688,64.4809265136719,66.8849945068359,64.4809265136719,66.8660049438477,64.4809265136719
"KR28","K",40.54369425,-74.65964237,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,9.6,5.91666666666667,9.38333333333333,6.11666666666667,66.2095565795898,61.4457168579102,66.2537231445312,61.4457168579102,66.2346115112305,61.4457168579102,66.2346115112305,61.4457168579102,66.2346115112305,61.4457168579102,66.2239379882812,61.4457168579102
"KR29","K",40.54441216,-74.65869398,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,9.73333333333333,5.75,9.55,5.95,63.8092346191406,48.8799819946289,63.9110488891602,48.8799819946289,63.8871574401855,48.8799819946289,63.8871803283691,48.8799819946289,63.8874244689941,48.8799819946289,63.8331680297852,48.8799819946289
"KR30","K",40.54585357,-74.65868667,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",121,145,163,185,9.86666666666667,5.63333333333333,9.68333333333333,5.8,63.2909736633301,51.4881439208984,63.4235343933105,51.4881439208984,63.3507690429688,51.4881439208984,63.3507766723633,51.4881439208984,63.3510894775391,51.4881439208984,63.3644180297852,51.4881439208984
"KR31","K",40.54513565,-74.65963507,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,5.71666666666667,9.43333333333333,5.78333333333333,9.55,65.7060241699219,60.6759872436523,66.0022888183594,62.0147018432617,65.723762512207,60.6759872436523,65.723762512207,60.6759872436523,65.7237777709961,60.6759872436523,65.9756393432617,62.0147018432617
"KR32","K",40.54441773,-74.66058346,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,5.85,9.3,5.91666666666667,9.43333333333333,66.6742782592773,64.5359725952148,66.7196426391602,64.5360107421875,66.693962097168,64.5359725952148,66.693962097168,64.5359725952148,66.6942443847656,64.5359725952148,66.6994400024414,64.5360107421875
"KR33","K",40.5436998,-74.66153183,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,6,9.16666666666667,6.06666666666667,9.31666666666667,67.3383178710938,64.1184844970703,67.3521728515625,64.1184844970703,67.3503952026367,64.1184844970703,67.3501815795898,64.1184844970703,67.3503189086914,64.1184844970703,67.3400421142578,64.1184844970703
"KR34","K",40.54298186,-74.66248018,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,6.15,8.98333333333333,6.23333333333333,9.18333333333333,67.5287933349609,64.6028594970703,67.512825012207,64.6028594970703,67.5127716064453,64.6028594970703,67.5126724243164,64.6028594970703,67.5126342773438,64.6028594970703,67.5289535522461,64.6028594970703
"KR35","K",40.54226391,-74.6634285,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,6.26666666666667,8.85,6.35,9.06666666666667,67.7634048461914,66.3627853393555,67.7678604125977,66.3627853393555,67.7671203613281,66.3628082275391,67.7678527832031,66.3627853393555,67.7665786743164,66.3627853393555,67.7634048461914,66.3627853393555
"KR36","K",40.54154595,-74.66437681,0,1,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,6.41666666666667,8.7,6.46666666666667,8.95,67.7440338134766,65.9592590332031,67.7413330078125,65.9592590332031,67.7378845214844,65.9592590332031,67.7410583496094,65.9592590332031,67.7371063232422,65.9592590332031,67.7440338134766,65.9592590332031
"KR37","K",40.54082799,-74.6653251,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,6.56666666666667,8.58333333333333,6.6,8.78333333333333,66.9981155395508,60.8965759277344,67.0143890380859,60.8965759277344,67.0107345581055,60.8965759277344,67.0137634277344,60.8965759277344,67.011116027832,60.8965759277344,66.9981155395508,60.8965759277344
"KR38","K",40.54083345,-74.66721447,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,6.71666666666667,8.43333333333333,6.76666666666667,8.63333333333333,67.1974639892578,62.9093704223633,67.2031860351562,62.9093704223633,67.2038421630859,62.9093704223633,67.2031784057617,62.9093704223633,67.2031631469727,62.9093704223633,67.1974639892578,62.9093704223633
"KR39","K",40.54083887,-74.66910385,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,6.9,8.3,6.9,8.48333333333333,70.149040222168,55.3827362060547,70.1664810180664,55.3827362060547,70.1669921875,55.3827362060547,70.1664810180664,55.3827362060547,70.1664810180664,55.3827362060547,70.149040222168,55.3827362060547
"KR40","K",40.54155687,-74.66815561,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,7.03333333333333,8.18333333333333,7,8.3,69.1007919311523,60.1556663513184,69.0912094116211,60.1556663513184,69.0919876098633,60.1556663513184,69.091178894043,60.1556663513184,69.0912094116211,60.1556663513184,69.1007919311523,60.1556663513184
"KR41","K",40.54155143,-74.66626621,0,0,1,1,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,7.18333333333333,8.06666666666667,7.13333333333333,8.16666666666667,67.6647415161133,63.9342613220215,67.6634368896484,63.9342613220215,67.6643295288086,63.9342613220215,67.6634216308594,63.9342613220215,67.6634140014648,63.9342613220215,67.6647415161133,63.9342613220215
"KR42","K",40.5422694,-74.66531792,0,0,1,1,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,7.33333333333333,7.93333333333333,7.58333333333333,8.01666666666667,67.8240280151367,63.7526397705078,67.8269577026367,63.7526397705078,67.8270645141602,63.7526397705078,67.8269577026367,63.7526397705078,67.8267288208008,63.7526397705078,67.8240280151367,63.7526397705078
"KR43","K",40.54227486,-74.66720734,0,1,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,7.5,7.78333333333333,7.25,7.9,67.2888946533203,57.8548851013184,67.300666809082,57.8548851013184,67.3011245727539,57.8548851013184,67.300666809082,57.8548851013184,67.300666809082,57.8548851013184,67.2888946533203,57.8548851013184
"KR44","K",40.54299828,-74.66814849,0,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,7.63333333333333,7.66666666666667,7.4,7.76666666666667,67.0217132568359,62.2281455993652,67.0357437133789,62.2281455993652,67.0357513427734,62.2281455993652,67.0357437133789,62.2281455993652,67.0357437133789,62.2281455993652,67.0217132568359,62.2281455993652
"KR45","K",40.54299284,-74.66625905,0,1,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,7.76666666666667,7.5,7.71666666666667,7.6,66.9439163208008,55.5457992553711,66.954216003418,55.5457992553711,66.954475402832,55.5457992553711,66.954216003418,55.5457992553711,66.954216003418,55.5457992553711,66.9439163208008,55.5457992553711
"KR46","K",40.54298736,-74.66436961,1,0,0,0,"Mike Allen","Mike Allen","Mike Allen","Mike Allen",122,144,165,184,7.91666666666667,7.35,7.85,7.46666666666667,66.9602813720703,63.4789009094238,66.9334945678711,63.4789009094238,66.9341278076172,63.4789009094238,66.933479309082,63.4789009094238,66.933479309082,63.4789009094238,66.9602890014648,63.4789009094238
